prompt,refs_0,refs_1,refs_2
Luggage trolley can typically be used for storing luggage. What makes this possible? ,The luggage trolley is upright.,You are travelling.,The zipper on the luggage trolley works.
Dirty dishes can typically be used when consuming food. What makes this impossible? ,You wash the dishes.,The dish has salmonella on it and will make you sick.,The dirty dishes are being washed.
Drinking is typically used for intoxication. What makes this impossible? ,You drink water.,You are drinking water.,You are drinking water.
Kissing can typically be used for exchanging germs. What makes this impossible? ,You are single.,You are blowing a kiss from far away.,You blow a kiss through the air.
Delicatessen can typically be used for bagels lox and cream cheese. What makes this impossible? ,The delicatessen is closed.,The delicatessen is closed.,
Writing letter can typically be used for expressing condolences. What makes this possible? ,She writes a letter using a pen.,You are able to express yourself eloquently.,Someone has died.
Theater seat are typically used to view movie. What makes this possible? ,You buy a ticket.,You see a movie in person.,You have purchased a ticket to the movie.
Burying cat are typically used for getting rid of smell. What makes this impossible? ,The cat is buried too shallow.,Your cat is alive.,Cat is burns.
Playing piano are typically used for entertainment of others. What makes this impossible? ,You have never played piano before.,Piano is broken.,You are playing the piano by yourself.
Klonopin are typically used for anxiety. What makes this impossible? ,You are medication free.,You are cheerful .,The anxious person cannot afford their klonopin prescription.
Obstructing justice are typically used by troublemakers. What makes this impossible? ,They are caught.,You get away with the crime.,Troublemakers are in jail.
Kissing can typically be used for exchanging germs. What makes this possible? ,You are interested in someone.,You are sick.,You have a disease.
Buying for loved one are typically used as anniversary gift. What makes this possible? ,You are married.,You are in a relationship.,You have money.
Den is typically used for resting. What makes this impossible? ,You have a house instead of a den.,The den is locked.,You are vacuuming in your den.
Climbing can typically be used for reaching top of. What makes this impossible? ,You have broken your leg.,You have a broken leg.,You are using a stair stepper.
Microscope are typically used for observing small things. What makes this possible? ,Microscope has correct lense.,You are looking at a slide.,Microscope has clean lens.
Studying is typically used when preparing for exam. What makes this possible? ,Before the exam.,You take good notes.,The student does not understand the content.
Ladder are typically used for painting ceiling. What makes this possible? ,You are on ladder.,You climb the ladder.,The ladder is tall enough to reach the ceiling.
Lobby are typically used for rest. What makes this impossible? ,You have work.,You are not staying at the hotel.,The lobby is closed.
Relaxing can typically be used for temporary cessation of labor. What makes this impossible? ,You are on a deadline.,You are scheduled to work.,You have more work to do.
Credit or other plastic cards is typically used to obtain cash from automatic teller machines. What makes this impossible? ,Your account balance is zero.,The card is declined.,You are at cash counter in bank.
Queen can typically be used for people. What makes this possible? ,You like a woman.,,
Getting exercise are typically used for having fun. What makes this possible? ,You join a gym with friends.,The individual really enjoys exercise.,You are athletic.
Reading book can typically be used for entertainment. What makes this impossible? ,The book is boring.,You are illiterate.,The book is confusing.
Photo album are typically used for storing photos. What makes this possible? ,You have physical photos.,The photos are printed.,You have an empty album.
Riding bicycle is typically used in racing. What makes this possible? ,Betting.,You have practiced.,You know how to ride a bike.
Fortune can typically be used for building mansions. What makes this impossible? ,You gamble your fortune away.,The builders cost too much.,You already have a house.
Basketball can typically be used for throwing. What makes this impossible? ,There is a hole in the basketball.,Basketball lacks air.,You are maime.
Duffel bag are typically used to pack travel clothing and items. What makes this possible? ,You have a small amount of travel clothing and items.,The duffel bag is large enough to fit the items.,You are going on vacation.
Computer is typically used for collecting and analyzing information. What makes this possible? ,The computer is running.,Your computer is connected to network.,You have electricity.
Scale are typically used for measuring weight. What makes this possible? ,The scale is accurate.,You are standing on the scale.,You are within the weight confines of an average scale.
Finger is typically used to write on fogged mirror. What makes this possible? ,Steam has fogged up the mirror.,You are touching the mirror.,There is fog on the mirror.
Passage can typically be used as description. What makes this possible? ,You know how to read.,You are reading a book.,
Chess board can typically be used for playing chess. What makes this possible? ,You know how to play chess.,The chess board has pieces on it.,All the pieces are on the board.
Bench can typically be used for growing plants. What makes this possible? ,The bench has room.,The bench is filled with soil.,Bench has direct sunshine.
Mill are typically used for mill. What makes this impossible? ,The mill functions poorly by not spinning.,,
Telling many people about are typically used in advertising. What makes this impossible? ,The television ad was taken down by the station.,You advertise in an area without many people.,
Watching evening news can typically be used for gathering information. What makes this impossible? ,It is morning.,Your television is broken.,If you do not have a tv.
Taking walk are typically used for staying in shape. What makes this impossible? ,You have a broken leg.,You are in a wheelchair.,You eat more calories than you walk off.
Setting cup on table are typically used for freeing hands. What makes this possible? ,Your hands are full.,There is a cup being carried.,The table has a placemat on it.
Creature are typically used to reduce amount of labor. What makes this possible? ,The creature is useful for the labor.,The creature is strong enough to work.,
Train seat are typically used for keeping balance while moving. What makes this possible? ,Your seat on the train is sturdy.,He is holding onto the seat in front of him.,You are on a train.
Container can can typically be used for storing flour. What makes this impossible? ,The container has a hole in the bottom.,There is a hole in the container.,You are out of flour.
Wood pulp are typically used to make paper. What makes this possible? ,The wood pulp is wet.,You have a wood pulp processor.,A factory is making paper.
Fountain pen can typically be used by collectors of writing instruments. What makes this impossible? ,Fountain pen is out of ink.,I have no money.,
Dining room can typically be used for eating in. What makes this impossible? ,Your house has an eat in kitchen only.,The dining room is empty.,You eat at a restaurant.
Temple can typically be used for praying to god s. What makes this impossible? ,The temple is not for your religion.,You are at a wedding.,Temple is closed.
Map can typically be used for avoiding pitfalls. What makes this impossible? ,The detour happened after the map was written.,The map is torn in half.,
Dirty dishes is typically used for washing. What makes this impossible? ,There is no soap.,The dishes are already clean.,
Ranch house are typically used by cowboys. What makes this possible? ,The cowboys are tired and need a rest place.,Ranch house is in the country.,You are on a ranch.
Table are typically used to read. What makes this impossible? ,You are illiterate.,The light at the table goes out.,You are illiterate.
Going to play are typically used for catching up on latest theatre. What makes this possible? ,You purchase ticket to play.,The play is recent.,You pay attention to the play while watching.
Dining room table can typically be used to eat dinner on. What makes this possible? ,You eat at home.,Family came together for a potluck dinner.,If i have to eat.
Dancing is typically used for expressing emotion. What makes this possible? ,The person dancing knows how to dance.,You are healthy.,Dance expresses emotion through motion.
House can typically be used to sell. What makes this possible? ,The house has a buyer.,You own the house.,A family has moved.
Going to sporting event are typically used for excitement. What makes this impossible? ,I went to working time.,The sporting event is cancelled.,You dislike sports.
Cooks can typically be used for burns. What makes this possible? ,You are at the stove.,,
Obstructing justice are typically used as hindering police. What makes this impossible? ,You are honest with the police.,,
Sending e mail are typically used for staying in touch. What makes this possible? ,You have a computer.,You have a good internet connection.,You have a computer.
Answering questions are typically used by people with knowledge. What makes this impossible? ,Your knowledge is irrelevant.,I will absent.,You are unaware of question.
Computer can typically be used for writing. What makes this impossible? ,The computer is powered off.,Your computer is off.,The keys are sticking.
Dressing nice can typically be used for ball. What makes this possible? ,You are invited to a ballroom event.,You have nice clothes.,
Starting family can typically be used for young couples. What makes this possible? ,The couple is a man and a woman.,You are fertile.,Both couple are fertile.
Communicating can typically be used for sharing memes. What makes this impossible? ,Your internet is down.,Internet is disconnected.,You do pay your internet bill.
You can typically use repairing umbrella for protection from rain. What makes this possible? ,The umbrella has a small hole.,The umbrella is torn.,You live in a rainy area.
Magic marker can typically be used to make graffiti on wall. What makes this impossible? ,Wall is course.,Magic marker is dried out.,The marker is dry.
Pouch can typically be used for putting stuff in. What makes this impossible? ,The pouch is full.,The pouch has a big hole in it.,Your pouch is full.
Getting money from are typically used for borrowing money. What makes this possible? ,You are approved for a loan.,,
Grocer can typically be used for selling groceries. What makes this possible? ,The store is open.,The store is stocked with groceries.,There is a grocery store.
Calculator are typically used to add. What makes this possible? ,You are doing math homework.,The calculator is on.,The calculator is on.
Adhesive bandage can typically be used for cuts. What makes this impossible? ,The cut is too deep.,The bandage is dirty.,The bandages were lost.
You can typically use adding up numbers when making averages. What makes this impossible? ,She lost the calculator.,There is only one number.,You are bad at math.
Reel can typically be used to bring in caught fish. What makes this possible? ,You are near the water.,You are near a lake.,The reel is working properly.
State highway are typically used for driving. What makes this possible? ,There are cars on the highway.,You have a car.,Highway lanes are open.
Sporting goods store can typically be used for buying fishing line. What makes this possible? ,The store is open.,Store is open.,
Advancing into battle can typically be used by armies. What makes this possible? ,Your countries are at war.,The army is at war.,The troops are prepared.
Pool can typically be used for drinking. What makes this impossible? ,The water is dirty.,The water is dirty.,The pool is empty.
Flying kite are typically used for relaxing. What makes this possible? ,There is wind outside.,Youre outside on a windy day.,There is wind.
Ophthalmoscope can typically be used for inspection of eye. What makes this impossible? ,Opthalmoscope is in bad condition.,You are at home.,The ophthalmoscope lens is blocked.
Cleaning can typically be used for making not dirty anymore. What makes this possible? ,You use good cleaning products.,A thing is dirty.,
Calendar are typically used for remembering appointments. What makes this impossible? ,You forget to use calendar.,If you forget to look at the calendar.,We forget to see the calendar due to work pressure.
Line can typically be used to determine where scrimmage takes place. What makes this impossible? ,You are playing a different game.,You are off the football field.,The line is washed away.
Display cabinet can typically be used for display collections. What makes this impossible? ,The doors of the display cabinet are made of solid wood.,The cabinet is full of junk.,Display cabinet has closed doors.
Microscope are typically used for observing small things. What makes this impossible? ,Microscope is dirty.,The lens is dirty.,Microscope is dirty.
Sports bat can typically be used for throwing. What makes this impossible? ,You are at home.,There is no sports bat.,
Bus can typically be used for getting from one place to another. What makes this possible? ,You have paid for bus fare.,You have a bus ticket.,You are at the bus stop.
Reading letter can typically be used for learning information. What makes this possible? ,The letter has information on it.,You study to gather new information.,You can read.
Reading book can typically be used for entertainment. What makes this possible? ,The book is interesting.,You know how to read.,The book is entertaining.
Disease can typically be used for injuring enemy. What makes this impossible? ,The disease is uncontrolled.,Country is at peace.,The enemy is immune to the disease.
Key are typically used for getting in to house. What makes this impossible? ,You have the wrong key.,Key goes to different house.,You have lost your key.
Thumb tack are typically used to pin picture to wall. What makes this possible? ,The tack is sharp.,You are indoors.,The thumb tack is sharp.
Cooking dinner are typically used as way to watch calorie intake. What makes this possible? ,You keep track of what is in your food.,You are eating healthy.,You follow a diet routine.
Sporting goods store can typically be used for buying fishing line. What makes this impossible? ,The store has shut down.,Store is closed.,
Wall can typically be used for stopping people from getting in. What makes this possible? ,The wall encloses the area.,The wall surrounds the room.,The wall is sturdy and cannot be kicked in.
Running can typically be used in olympic sport. What makes this possible? ,You train for it.,We are participate in olympic.,The runners are competing in the summer olympics.
Washing clothes can typically be used for cleaning dirty clothes. What makes this impossible? ,The clothes are already clean.,There is no water.,The water is disconnected from the washer.
Jet engines is typically used to propel aircraft. What makes this possible? ,The aircraft has enough fuel.,The aircraft has fuel.,Jet engine is functional.
Letter slot are typically used for spying through. What makes this impossible? ,The letter slot is closed.,The letter slot is obstructed by the flap.,The letter slot is small.
Union can typically be used to negotiate for higher pay. What makes this possible? ,You are making below minimum wage.,You are a member of the union.,Union are doing agitation.
Knight are typically used as chess piece. What makes this possible? ,You are playing chess.,You are playing a game with a friend.,
Teaspoon can typically be used to mix sugar in tea. What makes this impossible? ,You are out of sugar.,The teaspoon is too big.,You are out of tea.
Finger are typically used as hook handle. What makes this possible? ,Something is hanging from your finger.,You are holding something light.,You are carrying a bags.
Seeing new are typically used to experience. What makes this impossible? ,You have already experienced something.,You stay home.,You are blind.
Dressing nice can typically be used for ball. What makes this impossible? ,"You were invited somewhere else with a dress code, like a restaurant.",Your clothes is dirty.,
Buffet can typically be used to eat lot of food. What makes this impossible? ,The buffet is closed.,The buffet is used to hold decorative items.,You are at a regular restaurant.
Mandolin are typically used as accompanying guitar. What makes this impossible? ,The mandolin has just been shattered to pieces.,The mandolin strings are broken.,You are playing guitar.
Cheque book holder can typically be used for protecting checks. What makes this impossible? ,You throw your cheque here and there.,The cheque book holder is empty.,You have used all your checks.
Correction fluid are typically used for covering up mistakes. What makes this impossible? ,The mistake is on a colored sheet of paper.,The correction fluid is inside the bottle.,You have made a mistake while typing.
Eating hamburger are typically used when following mainstream style of living. What makes this possible? ,You are at a hamburger cookout.,You eat meat.,You order a hamburger.
Restaurant entrance are typically used when going into restaurant. What makes this impossible? ,The restaurant is closed.,The restaurant is closed.,The restaurant is closed.
Hair shaping gel can typically be used for fixing hair. What makes this possible? ,Your hair is dry.,The hair shaping gel is high quality.,The gel is in your hair.
Silk is typically used by boxers. What makes this possible? ,The boxers are wearing silk boxers.,,
Runway can typically be used from plane to taxied to. What makes this impossible? ,There is ice on the runway.,You are at home.,
Fire extinguisher is typically used to propel yourself across room. What makes this impossible? ,You are too heavy.,There is severe fire.,
Moon is typically used for night vision. What makes this possible? ,Moon light is bright.,There is a full moon.,It is night time.
Seeing movie can typically be used to do on date. What makes this possible? ,You invite someone to the movies.,You are on holiday.,You buy a ticket.
Having conversation are typically used for pleasure. What makes this impossible? ,You have social anxiety.,You are at work.,The conversation is boring.
Disease can typically be used for injuring enemy. What makes this possible? ,You have control of the disease.,You are in biological warfare.,You spread the disease to the enemy.
Camera can typically be used for taking photographs. What makes this possible? ,The camera has been charged.,I have the camera.,The shutter is open.
Wheel are typically used for tires. What makes this possible? ,You have a car.,The car is functional.,
Singing are typically used for showing off. What makes this possible? ,You are a talented singer.,You sing in public.,You are passionate about it.
Looking better are typically used for getting job. What makes this impossible? ,The interviewee dresses in a provocative manner for a formal interview.,You already have a job.,The job is remote.
Leg is typically used for standing on. What makes this possible? ,You are standing in line.,You have two strong legs.,You are standing up.
Thinking can typically be used for reducing dissonance. What makes this possible? ,You have a conflict.,You want to educate yourself.,Your actions and your beliefs are at odds with one another.
You can typically use mall for spending money. What makes this possible? ,You go to a store in the mall.,You are at a mall.,The mall is open.
Gas are typically used for cooking. What makes this impossible? ,You have an electric stove.,There is an electric stove.,You cook on induction stove.
Driving car are typically used for traveling. What makes this impossible? ,The car is out of gas.,You are at home.,You are traveling over seas.
Tree can typically be used for breaking wind. What makes this impossible? ,There is only one tree and it is small.,,
Calculating things quickly are typically used by accountant. What makes this impossible? ,The accountant is making mistakes.,The accountant is inattentive.,The accountant is too slow.
Pail are typically used for carrying things. What makes this possible? ,Pail is filled with water.,Children carry sand and water to play on the beach.,The pail has a handle.
Letter slot are typically used for letters. What makes this possible? ,The mailman delivers letters.,The slot is big enough.,You are mailing out letter.
Buying food are typically used for restocking larder. What makes this impossible? ,Larder is full.,The larder is fully stocked.,The larder is already full.
Hearing music is typically used for distraction. What makes this possible? ,Music is available.,You have an internet connection or radio.,You have a radio.
Reel can typically be used to bring in caught fish. What makes this impossible? ,There are no fish in the water.,You are near a pool.,The reel is broken.
Parking structure can typically be used for parking many cars. What makes this possible? ,A large event is happening.,The parking structure is organized.,You need to park in a city.
Entertaining can typically be used for having fun. What makes this impossible? ,You are working.,I am very busy man for work schedule.,You are in a bad mood.
Knife can typically be used for throwing at target. What makes this possible? ,There is a dartboard to aim at.,You are at a knifethrowing range.,The knife is sharp.
Sky can typically be used for floating in. What makes this possible? ,You are in a hot air balloon.,You are wearing spacesuit.,You are skydiving.
Landing are typically used to get out of sky. What makes this impossible? ,You are already landed.,The landing gear is broken.,You are on land.
Bathroom with toilet are typically used for urinating. What makes this possible? ,You go to the bathroom indoors.,You need to urinate.,The bathroom is open.
Toy soldier can typically be used for demonstrating examples of squad tactics. What makes this impossible? ,The tactics require other models.,There are too few soldiers.,The toy soldier is in a toy box.
Boat are typically used for transport. What makes this possible? ,The owner has the keys.,You are in your boat.,You want to cross a river.
Handgun is typically used for being in control. What makes this impossible? ,Holding handgun in wet hand.,The gun is a toy.,You live in a state where guns are illegal.
Tub can typically be used for containing water. What makes this impossible? ,The tub has a leak.,There is a leak in the tub.,There is a hole in the tub.
Turnpike can typically be used for going long distsnces by car. What makes this impossible? ,The turnpike is being worked on.,You are driving short distance.,The driver wants to take the scenic route.
Cooks can typically be used for burns. What makes this impossible? ,You are washing dishes.,,
Winter jacket can typically be used for keeping warm in winter. What makes this impossible? ,You are in a warm area.,The winter jacket has a hole in it.,The winter jacket is thin.
Paper are typically used in origami. What makes this impossible? ,Paper is torn.,The paper is too thick.,You are using paper to write.
Garbage can are typically used for putting trash in. What makes this impossible? ,The garbage can is overflowing.,The garbage can is full.,The garbage can is full.
Expressing information can typically be used in teaching another. What makes this impossible? ,You are alone.,You are alone.,The other person is inattentive.
Contemplating are typically used for finding meaning in. What makes this impossible? ,You are contemplating a worthless question.,You already know the answer.,
Island is typically used to live on. What makes this possible? ,Island has food sources.,You can live there only if you have an islamic income.,There is open land.
Altar can typically be used in church services. What makes this impossible? ,Church is closed.,The church doors are locked.,You are at an outdoor church service.
Staying healthy are typically used for keeping active. What makes this impossible? ,We are in sick.,You have a health condition.,
Key chain can typically be used to keep keys together. What makes this impossible? ,The metal clasp on key chain breaks.,The keys fall off the chain.,The keys are off the key chain.
Cannon is typically used for cannon balls. What makes this impossible? ,Cannon is broken.,Your country is at peace.,Cannon is very old and defecting.
Shareholder can typically be used for giving company money to operate. What makes this possible? ,You have money to invest.,The company is publicly traded.,You are investing money in share market.
Going fishing are typically used for catching shark. What makes this possible? ,You are in the water.,You are in the ocean.,You are in the water.
Gong can typically be used for making music. What makes this possible? ,The gong is struck.,You are making eastern music.,You have a mallet to strike the gong.
Making phone call are typically used for racking up long distance charges. What makes this impossible? ,You call someone nearby.,You call locally.,The phone is a cell phone.
Investing money or energy is typically used for reward. What makes this possible? ,You have money or energy.,The stock market is going up.,
Transit ticket are typically used to use transit. What makes this possible? ,If i went to travel.,You pay for the transit ticket.,You redeem transit ticket.
Writing is typically used for humor. What makes this impossible? ,I dont no to write.,You are writing a research paper.,The writer is being serious.
Working are typically used for doing with purpose. What makes this impossible? ,Your work is meaningless.,You are unemployed.,
Toothbrush can typically be used for removing plaque. What makes this impossible? ,The toothbrush has become worn out and is ineffective.,You brush your teeth infrequently.,The toothbrush has no bristles.
Dental office is typically used for checking for cavities. What makes this possible? ,You go for your check ups.,The dental office is staffed.,You went to a dentist.
Skiing are typically used for getting excercise. What makes this possible? ,You are near a mountain.,Skis are sturdy.,There is snow.
Led can typically be used as indicator lights. What makes this possible? ,The led is connected to a circuit.,The led is powered.,The lights are connected to the electrical circuit.
Eraser can typically be used for making mark disappear. What makes this possible? ,You have written on a board.,You use temporary ink like a pencil.,You have marked in pencil.
Making better world are typically used for creating better place for children. What makes this possible? ,There are people striving to make the world better.,,
Orchestra seat can typically be used for seating member of orchestra. What makes this impossible? ,The orchestra seat is broken.,The orchestra seat is put away.,You are at home.
Library can typically be used for reading books. What makes this possible? ,You like reading books.,You have a library card.,The library is open.
Heart can typically be used for feeling emotions. What makes this impossible? ,Heart is broken.,You are a sociopath.,
Attending classical concert are typically used when listening carefully. What makes this possible? ,Placing the concert.,The musicians know their music.,You can hear.
Going for run are typically used for keeping fit. What makes this impossible? ,You are in a wheelchair.,You are obsese.,Your leg is broken.
Buying house are typically used for sense of worth. What makes this impossible? ,You have insufficient fund.,You lose your job.,You are denied for mortgage.
Writing program are typically used for expressing yourself. What makes this impossible? ,You are illiterate.,You are a toddler who lacks the abilty to write.,You are illiterate.
Bill file can typically be used to file bills. What makes this impossible? ,Your bills are already paid.,You lose your job.,The person does not have any bills.
Staying fit are typically used to own benifit. What makes this impossible? ,You let yourself get out of shape.,You eat the wrong foods.,You also eat too much unhealthy food.
Rifle can typically be used for protection. What makes this possible? ,The rifle is loaded.,You live in an area where guns are legal.,The rifle has bullets.
Looking better are typically used for getting job. What makes this possible? ,The employer thinks the interviewees fashion sense fits perfectly with the company.,You have a mirror.,The job is in person.
Eating healthily are typically used for increasing strength. What makes this impossible? ,You are eating a unnatural diet.,"You can only afford cheap, unhealthy food.",
Knife can typically be used to teach john bobbitt lesson. What makes this impossible? ,You use the knife to cook by yourself.,,
Maintaining good health are typically used for optimal functioning of mind and body. What makes this impossible? ,You have a health condition.,You eat unhealthy food.,You do not get out of bed.
Breathing can typically be used for providing oxygen to cells. What makes this possible? ,He is taking a run.,You are a healthy person.,You have functioning lungs.
Alley are typically used for hanging out. What makes this possible? ,The alley is safe.,You live in a city.,You bring friends to the alley.
Classroom is typically used for listening. What makes this impossible? ,You are a teacher.,It is the weekend.,The students are all deaf.
Laundry room can typically be used to clean laundry. What makes this possible? ,The laundry machines are connected to outlet.,There is a washing machine there.,The laundry room is in service.
Running after ball are typically used for having fun. What makes this possible? ,You enjoy sports.,You are playing with the ball.,You are playing football.
Stretcher are typically used to carry body. What makes this impossible? ,You are standing up.,There is no unconscious body.,Your legs are functional.
Pistol can typically be used to shoot bullets. What makes this impossible? ,The pistol is out of bullets.,Nobody presses the trigger.,The gun is not loaded.
Lantern is typically used to shed light. What makes this impossible? ,The lantern has run out of oil.,The lantern is covered.,Lantern has run out of oil.
Working are typically used for helping others. What makes this impossible? ,You work for yourself.,You work remotely.,You are working for a greedy business.
Mill are typically used for mill. What makes this possible? ,You own a mill business.,,
Applying for job are typically used for being responsible. What makes this possible? ,You are qualified for the job.,You are serious about your life.,You fill out an application.
Desk can typically be used for spilling coffee over. What makes this possible? ,There is coffee on the desk.,You run into the desk while walking.,
Churchyard can typically be used for graves. What makes this possible? ,The church has a cemetery.,You bury dead people in the churchyard.,Dead people need to be buried.
Toothpick can typically be used to hold sandwich together. What makes this possible? ,You are having your dinner in a restaurant.,You ordered a sandwich.,The sandwich is thin.
Book end are typically used for keeping books from falling over. What makes this possible? ,"The book ends are made from sturdy material, like stone.",The bookshelf is not full.,Books are on a shelf.
Gel toothpaste can typically be used for preventing gum disease. What makes this possible? ,The toothpaste is brushed on the teeth.,You brush your teeth frequently.,You brush regularly with get toothpaste.
Giving gift are typically used when thanking for hospitality. What makes this possible? ,You have a gift to give.,You stay at a friends house.,You have money to spend on gift.
Eating vegetables are typically used for staying healthy. What makes this impossible? ,You are out of vegetables at home.,There is no vegetables.,You live in a food desert.
Machine are typically used to take tire off rim. What makes this impossible? ,Machine has been unplugged.,The machine is out of power.,The machine is a printer.
Hair gel can typically be used for sculoting hair. What makes this possible? ,The gel is in the hair.,Hair gel is in the bathroom.,Hair gel is good quality.
Closet are typically used for storing clothes. What makes this impossible? ,The closet is too small.,The closet is being fumigated.,The closet is full of boxes.
Tapestry can typically be used for keeping out drafts and wall decorations. What makes this impossible? ,You are outdoors.,The tapestry is torn.,The tapestry is too heavy to hang.
Sending criminal to prison are typically used in ensuring justice. What makes this impossible? ,The person is innocent.,The suspect gets away.,There is anarchy everywhere in the state.
Taking stand can typically be used for getting elected. What makes this impossible? ,You are giving a speech for work.,The position you took is unpopular.,
Fighting war are typically used for achieving political agendas. What makes this impossible? ,A country is at peace.,You lose the war.,A country is peaceful.
Toothbrush can typically be used for removing plaque. What makes this possible? ,You brush your teeth for two minutes twice a day.,You brush your teeth frequently.,You brush your teeth.
Cutting hair can typically be used for making shorter. What makes this impossible? ,You are bald.,You are bald.,You are a bold guy.
Listening are typically used as input. What makes this impossible? ,You are alone.,You are deaf.,The sound is too quiet for you to hear.
